source,target,edge_type
recipe_0,ingredient_1,contains
recipe_0,ingredient_2,contains
recipe_0,ingredient_3,contains
recipe_0,ingredient_4,contains
recipe_0,diet_5,suitable_for
recipe_0,meal_type_6,is_type
recipe_0,region_7,belongs_to_region
recipe_0,state_8,belongs_to_state
recipe_9,ingredient_10,contains
recipe_9,ingredient_11,contains
recipe_9,ingredient_12,contains
recipe_9,ingredient_13,contains
recipe_9,ingredient_14,contains
recipe_9,ingredient_15,contains
recipe_9,ingredient_16,contains
recipe_9,ingredient_17,contains
recipe_9,ingredient_18,contains
recipe_9,cuisine_19,belongs_to
recipe_9,diet_20,suitable_for
recipe_9,meal_type_21,is_type
recipe_9,region_22,belongs_to_region
recipe_9,state_23,belongs_to_state
recipe_24,ingredient_25,contains
recipe_24,ingredient_26,contains
recipe_24,ingredient_27,contains
recipe_24,ingredient_28,contains
recipe_24,ingredient_29,contains
recipe_24,ingredient_30,contains
recipe_24,ingredient_31,contains
recipe_24,ingredient_32,contains
recipe_24,ingredient_33,contains
recipe_24,ingredient_3,contains
recipe_24,ingredient_34,contains
recipe_24,ingredient_35,contains
recipe_24,cuisine_36,belongs_to
recipe_24,diet_37,suitable_for
recipe_24,meal_type_38,is_type
recipe_39,ingredient_40,contains
recipe_39,ingredient_41,contains
recipe_39,ingredient_12,contains
recipe_39,ingredient_13,contains
recipe_39,ingredient_42,contains
recipe_39,ingredient_43,contains
recipe_39,ingredient_3,contains
recipe_39,ingredient_15,contains
recipe_39,ingredient_18,contains
recipe_39,ingredient_28,contains
recipe_39,ingredient_44,contains
recipe_39,ingredient_14,contains
recipe_39,ingredient_45,contains
recipe_39,ingredient_46,contains
recipe_39,cuisine_47,belongs_to
recipe_39,diet_20,suitable_for
recipe_39,meal_type_48,is_type
recipe_49,ingredient_50,contains
recipe_49,ingredient_3,contains
recipe_49,ingredient_41,contains
recipe_49,ingredient_43,contains
recipe_49,ingredient_51,contains
recipe_49,ingredient_52,contains
recipe_49,ingredient_53,contains
recipe_49,ingredient_54,contains
recipe_49,ingredient_28,contains
recipe_49,ingredient_33,contains
recipe_49,ingredient_44,contains
recipe_49,ingredient_17,contains
