recipe_id,recipe_name,han_score_raw,han_score
1,Balu shahi,0.035462223,0.8014657
2,Maa Ki Dal Recipe - Punjabi Style Black Urad Dal Recipe,0.037135296,0.82311976
3,Chicken Spinach Cheese Balls Recipe,0.017556671,0.56971914
4,Punjabi Sabut Moong Ki Dal Recipe (Whole Green Lentils Cooked With Punjabi Spices),0.03607091,0.80934376
5,Lavand-E-Murgh Recipe - Afghani Chicken In Yoghurt Gravy,0.018784508,0.5856107
6,Thai Coconut Curry Soup Recipe,0.034564704,0.78984934
7,Carrot Ribbon Salad With Asian Sesame Dressing Recipe,0.03260025,0.76442397
8,Gawar Ki Sabzi Recipe - Cluster Beans Curry,0.033463143,0.77559215
9,Badami Paneer Masala Recipe -Paneer In Almond Gravy,0.029691426,0.7267758
10,White Bean Pasta Recipe,0.033632435,0.7777833
11,Eggless Paneer Mc Puff Recipe -Mc Donald's Style,0.032860227,0.76778877
12,Shahi Bhindi Recipe in Cashew Nut Gravy - Okras in Cashew Nut Curry,0.027310677,0.6959625
13,"Pita Topped With Oven Roasted Cauliflower, Basil Avocado Sauce Recipe",0.031745046,0.7533553
14,Maakhmi Dal Recipe-Sindhi Style Moong Dal,0.030513735,0.73741883
15,Beet Carrot and Apple Salad in Orange Mustard Vinaigrette Recipe,0.03436517,0.78726685
16,Thai Lemongrass Rice Recipe,0.034795713,0.7928392
17,Four Cheese and Spinach Stuffed Mushrooms Recipe,0.03257179,0.7640556
18,Sindhi Style Doda Recipe (Spring Onion Rice Flour Flat Bread Recipe),0.034664657,0.791143
19,Savory Multigrain Waffles Recipe with Green Chillies & Tabasco Sauce,0.034355525,0.787142
20,Maharashtrian Style Kolhapuri Khichdi Recipe,0.034109633,0.7839595
21,Murgh Musallam Recipe - Masala Roasted Chicken,0.034121897,0.78411824
22,Andhra Style Tamati Pachadi Recipe (Tomato Chutney),0.0312746,0.7472665
23,Dherosh Chingri Jhol Recipe (Bengali Style Prawn Curry With Ladies Finger),0.033540044,0.7765875
24,Makhana ki Sabzi Recipe,0.03298727,0.7694331
25,Asian Style Bean Sprout & Corn Salad Recipe,0.031408135,0.74899477
26,Chicken Kappa Biryani Recipe,0.03504341,0.7960451
27,Coriander Garlic Baked Chicken Recipe,0.020017589,0.6015701
28,Focaccia Bread with Sweet Onion and Capers Recipe,0.035678837,0.80426925
29,Soft Taco With Mushroom and Roasted Bell pepper Sauce Recipe,0.034365367,0.78726935
30,Sweet Potato & Methi Stuffed Paratha Recipe,0.03220054,0.75925064
31,Kerala Style Ulli Theeyal Recipe - Small Onions Roasted in Spicy Tamarind Coconut Gravy,0.035211477,0.79822034
32,Khandeshi Sev Bhaji Recipe,0.03492866,0.79455996
33,Persian Style Taftan Recipe,0.033843886,0.78052
34,Traditional Whole Gobi Musallam Recipe,0.033160243,0.77167183
35,Soya Chunk And Green Peas Sabzi Recipe,0.035609264,0.8033688
36,स्वीट कॉर्न पोरियल - Sweet Corn Poriyal (Recipe In Hindi),0.033930734,0.78164405
37,Coriander Tamarind Millet Rice Recipe,0.03600038,0.80843085
38,Vegetable Pasta Soup Recipe,0.03542561,0.80099183
39,Soy Chunks Manchurian Recipe In Sweet & Spicy Chinese Sauce,0.035884302,0.8069285
40,Vegetarian Sushi Recipe,0.032562327,0.7639331
41,Rase Wale Aloo Recipe (Boiled Potato in Tangy Tomato Sauce),0.033322453,0.7737712
42,Ratatouille with Grilled Cottage Cheese Steak,0.03093069,0.7428153
43,Soya Chunks Sabzi,0.033303175,0.7735217
44,Creamy Thai Sweet Potato Curry Recipe,0.034346025,0.7870191
45,Kerala Style Chicken Stew Recipe,0.019865433,0.59960085
46,Gujarati Dhokla Pizza Recipe,0.030947484,0.7430327
47,Homemade Whole Wheat Pav Recipe / Ladi Pav,0.031038437,0.7442099
