recipe_id,recipe_name,expiry_score
2,Maa Ki Dal Recipe - Punjabi Style Black Urad Dal Recipe,1.0
2224,Sorakkai Paruppu Kuzhambu Recipe - Tamil Nadu Style Lauki Curry,1.0
3940,Seer Fish Fry Recipe,1.0
12027,Tandoori Chickpea & Cauliflower Curry Recipe (Vegan Curry),1.0
1056,Sweet Potato & Oatmeal Kofta Curry (Non Fried),1.0
3984,Ajwaini Tamatar Bhindi Recipe,1.0
15555,Paneer Butter Masala Biryani Recipe,1.0
2181,Valor Muthia Nu Shaak Recipe - Flat Beans Stir Fry With Dumplings,1.0
15557,Andhra Style Davva Aava koora Recipe (Sweet and Spicy Banana Stem Peanut Curry Recipe),1.0
17198,Semiya Biryani Recipe,1.0
12012,Shahi Egg Curry Recipe In Tomato & Cashew Gravy,1.0
2177,Oriya Style Ambila Recipe - Sweet & Spicy Mixed Vegetable Sabzi,1.0
2175,Kadalai Puli Kuzhambu With Mangalore Cucumber & Drumstick Recipe,1.0
8783,Poondu Milagu Kuzhambu Recipe - Tamilnadu Style Garlic and Black Pepper Curry,1.0
3992,Kathirikai Gothsu / Gotsu Recipe - South Indian Style Spicy and Tangy Eggplant Curry,1.0
17164,Tangy Raw Beetroot & Tomato Chutney Recipe,1.0
2165,Karnataka Style Sorakaya Palya Recipe - Karnataka Style Bottle Gourd Sabzi,1.0
2164,Palak Paneer Recipe | Cottage Cheese In Spinach Gravy,1.0
1089,Khatti Meethi Palak Khichdi Recipe,1.0
4007,Hyderabadi Khatti Dal Recipe (Hyderabadi Tangy Lentil Curry),1.0
4009,Chettinad Style Kara Kuzhambu Recipe with Potato and Brinjal,1.0
1050,Khakhra Pizza Recipe With Cheese Spread & Roasted Vegetables,1.0
17271,Tomato Uttapam Recipe,1.0
2281,Batata Saragva Nu Shaak Recipe-Spicy Aloo & Drumstick Vegetable,1.0
3934,Kerala Style Brinjal Curry Recipe | Spicy Eggplant Curry in Coconut Milk,1.0
15491,Bharwa Karela Makhani Recipe - Stuffed Karela Masala Gravy,1.0
8702,Crispy Paneer Bars Recipe- Crispy Cottage Cheese Bars,1.0
8707,Meen Vevichathu Recipe - Kottayam Style Fish Curry,1.0
8709,Dahi Wali Singhare Ki Sabzi Recipe,1.0
8712,Chicken In A Foil Recipe,1.0
15494,Dal Palak Recipe With Moong & Masoor Dal,1.0
12152,Karnataka Style Sorakkai Palya (Recipe In Hindi),1.0
1009,Red Chilli and Tomato Pachadi Recipe,1.0
17327,Lau Chingri Recipe (Bottle Gourd And Shrimp Curry),1.0
17319,Punjabi Wadi Choliya Ki Sabzi Recipe,1.0
12112,Amritsari Murgh Makhani Recipe- Chicken Makhani Recipe,1.0
12108,Drumstick Leaves Fried Rice Recipe,1.0
3929,Hariyali Gobi Recipe - Palak Cauliflower Curry Recipe,1.0
3930,Arachuvitta Sambar Recipe - Sambar With Fresh Ground Spices,1.0
2232,Hesarukalu Bele Kosambari Recipe | Tangy Sprouted Green Moong Dal Salad,1.0
8745,Chettinad Thakkali Vengaya Kuzhambu Recipe,1.0
1037,Thakkali Gotsu Recipe | Thakkali Curry | Spicy & Tangy Tomato Gravy,1.0
15524,Paneer Makhani Recipe-Restaurant Style Recipe,1.0
2226,Bendakaya Pulusu Recipe - Andhra Style Tangy Ladies Finger Curry,1.0
15604,Kathirikai UrulaiKizhanghu Pachidi Recipe (Brinjals And Potatoes With Moong Dal),1.0
8801,Baby Potato Theeyal Recipe - Kerala Style Potatoes In Shallots And Roasted Coconut,1.0
5229,Mysore Rasam Recipe,1.0
1100,Paruppu Urundai Rasam Recipe - Dal Dumpling Rasam,1.0
1150,Kashmiri Style Gaad T Tamatar Recipe - Fish Curry,1.0
4034,Suran Ki Sabzi Recipe - Jimikand Masala Vegetable Recipe,1.0
11909,Paneer Stuffed Mushroom Masala Recipe,1.0
5158,Chettinadu Nandu Varuval Recipe (Crab Fry Dry With Baby Onions),1.0
1167,Kerala Style Varutharacha Mutton Curry Recipe,1.0
1172,Rajasthani Papad Ki Sabzi Recipe,1.0
15658,Amritsari Fish Gravy Recipe,1.0
2106,Gujarati Dal Recipe - Sweet Tangy and Spicy Dal,1.0
8958,Bharwa Lauki Recipe In No Onion No Garlic Makhani Gravy,1.0
2097,Gujarati Sev Tameta Nu Shaak | Sev Tamatar Ki Sabzi Recipe,1.0
11797,Baby Potato Theeyal Recipe - Kerala Style Potatoes In Shallots And Roasted Coconut,1.0
16925,Misa Maas Kordoi Tenga Recipe (Shrimp With Star Fruit Curry),1.0
8974,Delicious Butter Chicken Pani Puri Recipe,1.0
2090,Paalkatti Chettinad Curry Recipe -Chettinad Style Paneer Kurma Recipe,1.0
1190,Khatti Meethi Lauki Dal Recipe - Sweet & Spicy Bottle Gourd Dal,1.0
4113,Potala Rasa Recipe (Oriya Style Parval Sabzi),1.0
11655,Bharwa Lauki Recipe In No Onion No Garlic Makhani Gravy,1.0
1199,Smoked Dal Makhani Recipe - Dhaba Style,1.0
4126,Kollu Puli Kuzhambu Recipe - Horsegram In A Tangy Gravy,1.0
15632,Delicious Dal Makhani Recipe Without Onion and Garlic (Jain),1.0
1147,Murungai Keerai Kollu Kuzhambu - Drumstick Leaves Horse Gram Curry,1.0
8896,Chettinadu Kozhi Kuzhambu Recipe - Chettinadu Chicken Curry,1.0
15614,Kerala Kadala Curry Recipe - Spicy Chickpeas in Coconut Curry,1.0
