final_food_name,best_match_clean,matched_original_name,composite_score,Calories (kcal),Carbohydrates (g),Protein (g),Fats (g),Fibre (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (µg)
Spinach paneer kofta curry (Palak paneer kofta curry),spinach paneer kofta curry,Spinach paneer kofta curry (Palak paneer kofta curry),136.0,606.03,2.94,1.43,65.41,0.75,99.37,37.71,0.68,47.34,197.93
Plain urad dal vada (Uzunne vada/Minapa garelu/Ulundu vadai/Medu vada),plain urad dal vada,Plain urad dal vada (Uzunne vada/Minapa garelu/Ulundu vadai/Medu vada),133.75,745.5,9.7,4.39,76.32,2.27,65.87,10.6,0.96,0.0,13.31
Chicken sweet corn soup,chicken sweet corn soup,Chicken sweet corn soup,125.72,28.32,1.63,14.48,12.59,0.47,12205.33,91.5,3.83,2.02,13.45
Mixed vegetable pulao,mixed vegetable pulao,Mixed vegetable pulao,124.0,113.05,17.49,2.72,3.33,2.67,187.92,19.61,0.6,26.15,80.63
Lemon coriander soup,lemon coriander soup,Lemon coriander soup,124.0,108.06,10.32,2.27,6.26,6.77,219.17,102.57,3.47,8.6,12.47
Pea mushroom curry (Matar mushroom),pea mushroom curry,Pea mushroom curry (Matar mushroom),121.75,93.3,7.41,3.87,5.16,3.86,155.48,22.7,0.97,58.44,84.49
Roasted cauliflower steak,roasted cauliflower steak,Roasted cauliflower steak,121.75,78.68,2.02,2.05,6.7,3.53,120.19,24.47,0.95,47.14,46.0
Indian lamb and egg curry (Nargisi kofta),indian lamb and egg curry,Indian lamb and egg curry (Nargisi kofta),119.5,335.75,2.07,3.84,34.7,0.6,57.44,12.91,0.55,7.67,44.36
Vegetable curry with coconut ,vegetable curry with coconut,Vegetable curry with coconut ,114.85,83.07,7.19,2.77,4.66,3.35,43.4,19.63,0.95,69.6,87.67
Fish in coconut milk (Nariyal ke doodh ke saath machli),fish in coconut milk,Fish in coconut milk (Nariyal ke doodh ke saath machli),114.44,86.21,2.73,8.66,4.43,1.52,73.93,21.94,0.91,10.71,38.0
Spinach mushroom scrambled egg (Palak mushroom bhurji),spinach mushroom scrambled egg,Spinach mushroom scrambled egg (Palak mushroom bhurji),113.18,158.85,0.59,13.28,11.51,0.39,227.97,140.31,1.6,2.27,54.24
Cauliflower kofta curry (Phoolgobhi kofta curry),cauliflower kofta curry,Cauliflower kofta curry (Phoolgobhi kofta curry),112.62,641.1,2.62,1.04,69.62,1.0,93.65,12.26,0.4,53.98,89.51
Vegetable seekh kebab,vegetable seekh kebab,Vegetable seekh kebab,112.62,690.73,5.32,1.57,73.72,0.59,83.67,32.66,0.36,6.86,13.84
Vegetable stock,vegetable stock,Vegetable stock,112.0,17.6,0.96,0.3,1.38,0.38,49.75,5.08,0.12,7.58,13.92
Garlic pickle (Lahasun ka achar),garlic pickle,Garlic pickle (Lahasun ka achar),112.0,413.62,9.75,3.72,39.88,5.13,269.12,54.66,1.82,7.33,15.98
Chicken manchurian,chicken manchurian,Chicken manchurian,112.0,142.34,6.06,9.53,11.96,0.41,2414.77,26.52,1.28,10.37,45.99
Pumpkin halwa (Kaddu ka halwa),pumpkin halwa,Pumpkin halwa (Kaddu ka halwa),112.0,190.27,27.6,1.33,8.81,2.97,8.09,24.34,0.63,8.08,27.9
Pumpkin raita (Kaddu ka raita),pumpkin raita,Pumpkin raita (Kaddu ka raita),112.0,55.6,6.02,3.74,1.88,1.04,129.14,130.11,0.33,7.11,31.7
Mixed vegetable pickle (Sabziyoon ka achaar),mixed vegetable pickle,Mixed vegetable pickle (Sabziyoon ka achaar),112.0,211.2,7.48,1.9,19.68,2.76,2488.32,42.81,2.12,,
Creamed spinach,creamed spinach,Creamed spinach,112.0,96.91,4.44,5.18,6.39,1.33,156.02,122.3,1.89,62.17,320.46
Onion raita (Pyaaz ka raita),onion raita,Onion raita (Pyaaz ka raita),112.0,71.56,7.86,4.86,2.43,0.65,189.96,163.8,0.3,8.44,32.13
Egg drop soup,egg drop soup,Egg drop soup,110.54,26.64,1.1,12.93,13.52,0.81,12418.84,100.14,3.93,8.51,28.19
Bottle gourd raita (Ghiya/Lauki ka raita),bottle gourd raita,Bottle gourd raita (Ghiya/Lauki ka raita),110.05,56.31,5.76,3.98,2.07,0.85,188.37,138.26,0.23,4.76,39.49
Lemon green chilli pickle (Nimboo aur hari mirch ka achaar),lemon green chilli pickle,Lemon green chilli pickle (Nimboo aur hari mirch ka achaar),109.75,14.07,2.14,0.85,0.24,1.07,7559.38,20.05,0.55,,
Tandoori fish,tandoori fish,Tandoori fish,109.75,95.98,2.37,11.19,4.64,0.58,123.94,37.27,0.46,19.66,27.55
Tomato ginger chutney (Tamatar adarak ki chutney),tomato ginger chutney,Tomato ginger chutney (Tamatar adarak ki chutney),109.75,44.66,9.11,1.05,0.32,2.14,209.42,23.63,1.08,3.65,2.29
Tomato onion raita (Tamatar aur pyaaz ka raita),tomato onion raita,Tomato onion raita (Tamatar aur pyaaz ka raita),109.75,59.0,7.08,3.74,1.84,0.97,165.21,120.62,0.26,15.04,34.77
Masala dosa mixed vegetable fillings,masala dosa mixed vegetable fillings,Masala dosa mixed vegetable fillings,109.62,144.53,23.02,4.84,3.26,4.31,122.08,31.79,1.21,52.07,89.33
Dal makhani,dal makhani,Dal makhani,109.57,74.04,7.96,3.32,3.06,2.27,41.85,20.62,1.23,9.19,75.16
Mushroom matar,mushroom matar,Mushroom matar,109.57,70.77,5.33,2.79,4.11,3.13,61.63,21.42,0.81,39.15,54.07
Chicken kebab,chicken kebab,Chicken kebab,109.57,729.41,1.11,3.71,78.89,0.21,69.76,3.46,0.28,0.41,3.83
Vegetable soup,vegetable soup,Vegetable soup,109.57,55.21,7.6,2.22,1.55,3.01,170.68,18.1,0.63,,
Vegetable upma,vegetable upma,Vegetable upma,109.57,146.47,16.46,4.73,6.63,4.19,347.02,26.68,1.35,14.42,50.48
Creamy chicken,creamy chicken,Creamy chicken,109.57,152.87,3.13,13.52,9.57,0.69,97.08,50.37,0.82,7.46,32.64
Masala dosa,masala dosa,Masala dosa,109.57,164.58,19.57,3.29,7.84,2.52,191.28,15.58,0.79,14.14,35.76
Chilli paneer,chilli paneer,Chilli paneer,109.57,777.51,3.31,2.1,84.01,0.5,89.04,42.9,0.36,4.87,28.7
Chicken curry,chicken curry,Chicken curry,109.57,129.22,3.38,11.79,7.57,1.41,108.0,27.29,0.87,16.79,38.7
Masala dosa paneer fillings,masala dosa paneer fillings,Masala dosa paneer fillings,109.0,243.12,29.76,10.31,8.84,3.11,160.4,171.23,1.27,11.5,94.26
Egg curry (Anda curry),egg curry,Egg curry (Anda curry),107.55,117.52,4.03,5.38,8.81,2.09,142.12,41.59,1.52,19.03,44.73
Pav bhaji,pav bhaji,Pav bhaji,107.55,96.53,11.99,2.66,4.32,1.98,163.89,24.86,0.97,76.48,170.49
Masala vada,masala vada,Masala vada,107.55,826.02,4.06,1.69,89.15,1.07,74.53,7.45,0.52,2.05,32.14
Fish curry (Machli curry),fish curry,Fish curry (Machli curry),107.55,111.13,3.77,8.76,6.69,1.89,184.71,52.06,1.09,22.48,40.45
"Lemon rice (Pulihora, Elumichai sadam, Chitranna)",lemon rice,"Lemon rice (Pulihora, Elumichai sadam, Chitranna)",107.55,176.3,21.62,4.26,7.88,2.52,187.11,12.7,0.77,10.2,38.01
Stuffed capsicum (Bharwa shimla mirch),stuffed capsicum,Stuffed capsicum (Bharwa shimla mirch),107.55,90.94,8.26,1.34,5.7,2.01,173.94,15.17,0.61,74.25,38.35
Butter chicken,butter chicken,Butter chicken,107.55,137.0,3.74,10.92,8.7,1.32,26.21,25.28,0.92,32.65,40.85
Chicken pulao,chicken pulao,Chicken pulao,107.55,108.24,11.17,6.07,8.48,1.64,3093.47,32.25,0.98,4.47,38.7
Paneer curry,paneer curry,Paneer curry,107.55,176.52,8.4,7.8,12.38,1.4,216.09,189.06,0.81,20.04,95.56
Meringue and rice pudding,meringue and rice pudding,Meringue and rice pudding,107.5,112.93,14.6,4.84,4.05,0.17,44.16,85.43,0.37,3.02,24.69
Cream of carrot soup,cream of carrot soup,Cream of carrot soup,107.5,59.77,5.69,8.27,12.35,1.98,8694.79,57.24,1.73,10.68,37.89
Mushroom and cheese sandwich (toasted),mushroom and cheese sandwich,Mushroom and cheese sandwich (toasted),107.5,227.42,21.01,7.79,13.01,2.28,456.57,172.35,0.84,0.0,12.7
Garlic chickpea soup (Lahasun aur chane ka shoraba),garlic chickpea soup,Garlic chickpea soup (Lahasun aur chane ka shoraba),107.5,89.53,13.92,4.45,2.01,2.84,79.73,13.93,0.96,13.24,380.59
Masala urad dal vada,masala urad dal vada,Masala urad dal vada,107.02,703.78,9.93,4.32,71.62,2.71,61.49,11.87,1.0,2.05,15.89
Dal moong,dal moong,Dal moong,105.73,43.69,4.92,2.2,1.62,1.08,117.74,7.69,0.52,,
Lemon chicken,lemon chicken,Lemon chicken,105.73,169.79,0.55,20.2,9.66,0.16,79.93,17.4,0.95,8.94,31.21
Dum aloo,dum aloo,Dum aloo,105.73,682.33,3.33,0.7,74.01,0.68,183.85,16.49,0.36,29.39,34.41
Ginger chicken,ginger chicken,Ginger chicken,105.73,129.17,5.6,8.24,8.24,1.21,365.86,18.41,0.96,49.96,64.3
Methi poori,methi poori,Methi poori,105.73,710.02,7.98,1.45,74.6,1.61,35.37,14.61,0.81,2.91,8.47
Paneer pulao,paneer pulao,Paneer pulao,105.73,581.91,8.76,1.98,59.81,0.62,72.28,33.09,0.26,3.42,69.28
Paaner do pyaza,paaner do pyaza,Paaner do pyaza,105.6,127.7,3.41,4.22,10.87,0.84,160.66,57.22,0.45,16.81,35.64
Maa chaane ki dal,maa chaane ki dal,Maa chaane ki dal,105.48,344.67,43.11,19.8,9.5,13.45,43.31,68.65,5.97,1.43,102.41
Radish parantha/paratha (Mooli ka parantha/paratha),radish parantha paratha,Radish parantha/paratha (Mooli ka parantha/paratha),105.48,183.52,20.54,3.3,9.53,4.32,127.03,23.75,1.39,8.44,20.74
Paneer kofta curry,paneer kofta curry,Paneer kofta curry,105.16,670.91,3.27,2.39,72.06,0.4,121.72,59.49,0.34,17.06,97.75
Sprouted moong pulao,sprouted moong pulao,Sprouted moong pulao,103.38,112.97,17.49,2.19,3.61,1.78,153.16,16.26,0.65,7.53,43.15
Methi pakora/pakoda (Methi ke pakode),methi pakora pakoda,Methi pakora/pakoda (Methi ke pakode),103.38,713.25,4.68,2.06,76.39,1.18,69.83,23.07,0.69,23.31,126.81
Fish tikka,fish tikka,Fish tikka,101.58,117.33,3.91,16.0,4.15,1.18,503.44,31.98,1.41,0.9,4.62
Rice kheer (Chawal ki kheer),rice kheer,Rice kheer (Chawal ki kheer),101.58,75.03,10.05,2.3,2.97,0.17,16.24,75.57,0.17,5.06,19.54
Spinach mushroom (Palak mushroom),spinach mushroom,Spinach mushroom (Palak mushroom),101.58,47.63,2.95,1.94,2.96,2.27,70.97,49.75,1.69,60.21,232.9
Sesame ladoo (Til ke ladoo),sesame ladoo,Sesame ladoo (Til ke ladoo),101.58,396.96,43.5,10.7,19.64,7.72,18.55,631.82,8.94,0.0,18.17
Chilli chicken,chilli chicken,Chilli chicken,101.58,198.83,2.86,9.57,16.56,0.99,223.75,12.97,0.66,55.19,51.55
Rice upma,rice upma,Rice upma,101.58,151.27,17.96,2.63,7.46,2.12,101.75,17.57,0.67,4.64,11.94
Spinach raita (Palak ka raita),spinach raita,Spinach raita (Palak ka raita),101.58,52.75,5.06,3.95,1.86,1.39,126.57,142.96,1.61,32.9,160.65
Spinach paneer (Palak paneer),spinach paneer,Spinach paneer (Palak paneer),101.58,77.68,4.43,4.03,4.76,1.91,166.87,113.25,1.85,60.21,267.05
Peas pulao (Matar pulao),peas pulao,Peas pulao (Matar pulao),101.58,108.87,18.42,3.89,1.9,3.21,86.18,18.18,0.78,62.36,110.56
Chapati/Roti,chapati roti,Chapati/Roti,101.58,202.31,35.65,5.88,3.56,6.31,1.16,17.22,2.28,0.0,5.84
Garam masala,garam masala,Garam masala,101.58,254.21,26.2,9.89,10.97,35.56,58.33,609.77,14.51,,
Curd rice (Dahi bhaat/Dahi chawal/ Perugu annam/Daddojanam/Thayir saadam),curd rice,Curd rice (Dahi bhaat/Dahi chawal/ Perugu annam/Daddojanam/Thayir saadam),101.58,195.74,32.93,5.75,4.32,2.13,213.29,101.52,0.59,5.1,28.24
Chicken korma,chicken korma,Chicken korma,101.58,147.96,5.43,9.83,9.67,1.82,119.21,68.66,1.06,10.02,58.86
Spinach soup (Palak ka soup),spinach soup,Spinach soup (Palak ka soup),101.58,32.59,3.03,10.54,14.26,1.98,12088.21,56.23,2.68,30.99,150.94
Rich chocolate mousse,rich chocolate mousse,Rich chocolate mousse,101.52,188.26,10.84,7.96,12.19,0.0,51.71,54.59,0.97,0.7,31.64
Spicy chutney sandwich,spicy chutney sandwich,Spicy chutney sandwich,101.52,249.58,34.03,8.74,9.58,3.73,315.4,154.53,1.51,0.21,23.71
Split bengal gram dal and vegetable pulao (Channa dal and vegetable pulao),split bengal dal and vegetable pulao,Split bengal gram dal and vegetable pulao (Channa dal and vegetable pulao),101.03,116.53,19.72,3.6,2.3,3.16,98.07,19.09,0.82,27.07,104.21
Methi parantha/paratha,methi parantha paratha,Methi parantha/paratha,100.47,148.36,22.19,4.27,4.34,5.09,48.36,65.85,2.42,12.63,28.46
Rice moong dal cheela (Chawal aur moong dal ka cheela),rice moong dal cheela,Rice moong dal cheela (Chawal aur moong dal ka cheela),100.4,798.26,11.13,2.74,82.44,1.18,142.82,4.99,0.51,0.0,12.8
Green chutney,green chutney,Green chutney,100.0,79.42,10.01,5.42,1.6,5.84,262.81,112.74,4.58,7.35,15.53
Apple cake (Seb ka cake),apple cake,Apple cake (Seb ka cake),100.0,290.08,39.48,4.94,12.87,1.22,136.95,38.99,0.9,1.16,9.32
Gulab Jamun with khoya,gulab jamun with khoya,Gulab Jamun with khoya,100.0,586.06,26.09,2.03,53.23,0.07,15.09,67.32,0.39,0.02,16.44
Coffee ice cream,coffee ice cream,Coffee ice cream,100.0,150.62,14.09,3.15,9.43,0.0,42.09,95.72,0.15,2.16,7.18
Tomato chutney (Tamatar ki chutney),tomato chutney,Tomato chutney (Tamatar ki chutney),100.0,176.07,31.85,0.97,6.01,1.49,823.65,25.34,0.96,,
Christmas cake,christmas cake,Christmas cake,100.0,372.95,48.29,5.49,16.88,1.49,64.84,40.98,1.32,8.51,17.06
Chocolate sauce,chocolate sauce,Chocolate sauce,100.0,263.2,43.21,1.91,10.39,0.0,2.8,18.8,1.13,0.0,0.63
Mango ice cream,mango ice cream,Mango ice cream,100.0,125.69,11.14,3.4,7.62,0.52,29.13,67.17,0.39,44.98,142.26
Rasmalai,rasmalai,Rasmalai,100.0,135.55,29.17,1.61,2.11,0.07,16.46,62.31,0.15,2.69,11.29
Chocolate pudding,chocolate pudding,Chocolate pudding,100.0,211.96,29.59,3.55,9.48,0.53,171.36,64.56,0.6,0.75,18.08
Cold coffee (with cream),cold coffee,Cold coffee (with cream),100.0,82.76,11.98,1.93,3.29,0.0,15.35,64.43,0.14,2.56,9.52
Sarson ka saag,sarson ka saag,Sarson ka saag,100.0,87.84,5.33,3.0,5.86,3.69,165.45,134.41,2.43,59.58,128.42
Chinese fried rice,chinese fried rice,Chinese fried rice,99.85,120.58,13.4,4.05,5.43,2.31,248.36,34.7,0.99,67.39,136.83
Handi chicken,handi chicken,Handi chicken,99.85,166.02,1.49,12.32,12.46,0.67,75.64,26.85,0.93,1.47,20.46
